Day of week,Energy,Week Day,Year,Month,Day of month,Sum
5.0,30.120611,1.0,2018.0,7.9999995,31.0,528.77795
5.0,23.447168,1.0,2018.0,7.9999995,31.0,552.22516
5.0,29.042934,1.0,2018.0,7.9999995,31.0,581.26807
5.0,35.70887,1.0,2018.0,7.9999995,31.0,616.9769
5.0,26.37942,1.0,2018.0,7.9999995,31.0,643.3564
5.0,19.515236,1.0,2018.0,7.9999995,31.0,662.8716
5.0,11.873949,1.0,2018.0,7.9999995,31.0,674.74554
5.0,6.3290396,1.0,2018.0,7.9999995,31.0,681.0746
5.0,7.1868105,1.0,2018.0,7.9999995,31.0,688.2614
6.0,12.183252,0.0,2018.0,9.0,1.0,12.183252
6.0,12.740136,0.0,2018.0,9.0,1.0,24.92339
6.0,7.0948663,0.0,2018.0,9.0,1.0,32.018253
6.0,5.0961237,0.0,2018.0,9.0,1.0,37.11438
6.0,4.1478257,0.0,2018.0,9.0,1.0,41.262203
6.0,2.3365734,0.0,2018.0,9.0,1.0,43.598778
6.0,3.8639302,0.0,2018.0,9.0,1.0,47.462708
6.0,14.560781,0.0,2018.0,9.0,1.0,62.023487
6.0,24.81733,0.0,2018.0,9.0,1.0,86.84082
6.0,24.085873,0.0,2018.0,9.0,1.0,110.92669
6.0,29.013699,0.0,2018.0,9.0,1.0,139.94038
6.0,34.995502,0.0,2018.0,9.0,1.0,174.93588
6.0,19.67828,0.0,2018.0,9.0,1.0,194.61417
6.0,24.443167,0.0,2018.0,9.0,1.0,219.05734
6.0,31.207409,0.0,2018.0,9.0,1.0,250.26474
6.0,33.149815,0.0,2018.0,9.0,1.0,283.41455
6.0,18.978209,0.0,2018.0,9.0,1.0,302.39276
6.0,11.07793,0.0,2018.0,9.0,1.0,313.4707
6.0,11.561313,0.0,2018.0,9.0,1.0,325.032
6.0,7.4254246,0.0,2018.0,9.0,1.0,332.45743
6.0,0.0,0.0,2018.0,9.0,1.0,332.45743
6.0,4.3577394,0.0,2018.0,9.0,1.0,336.8152
6.0,6.384966,0.0,2018.0,9.0,1.0,343.20013
6.0,6.8445163,0.0,2018.0,9.0,1.0,350.04465
7.0,4.379518,0.0,2018.0,9.0,2.0,4.379518
7.0,3.8732605,0.0,2018.0,9.0,2.0,8.252779
7.0,0.0,0.0,2018.0,9.0,2.0,8.252779
7.0,1.4422764,0.0,2018.0,9.0,2.0,9.695055
7.0,3.3347433,0.0,2018.0,9.0,2.0,13.0297985
7.0,0.7419804,0.0,2018.0,9.0,2.0,13.771778
7.0,0.0,0.0,2018.0,9.0,2.0,13.771778
7.0,12.060384,0.0,2018.0,9.0,2.0,25.83216
7.0,8.784654,0.0,2018.0,9.0,2.0,34.616814
7.0,9.6411085,0.0,2018.0,9.0,2.0,44.257923
7.0,1.552441,0.0,2018.0,9.0,2.0,45.810364
7.0,10.077659,0.0,2018.0,9.0,2.0,55.888023
7.0,19.754232,0.0,2018.0,9.0,2.0,75.64226
7.0,30.553614,0.0,2018.0,9.0,2.0,106.19587
7.0,62.12601,0.0,2018.0,9.0,2.0,168.32188
7.0,59.368748,0.0,2018.0,9.0,2.0,227.69063
7.0,35.327297,0.0,2018.0,9.0,2.0,263.0179
7.0,28.225992,0.0,2018.0,9.0,2.0,291.24393
7.0,14.871454,0.0,2018.0,9.0,2.0,306.11536
7.0,11.739218,0.0,2018.0,9.0,2.0,317.85458
7.0,18.339436,0.0,2018.0,9.0,2.0,336.19403
7.0,9.447074,0.0,2018.0,9.0,2.0,345.6411
7.0,8.209097,0.0,2018.0,9.0,2.0,353.8502
7.0,6.74261,0.0,2018.0,9.0,2.0,360.5928
1.0,3.2459342,1.0,2018.0,9.0,3.0,3.2459342
1.0,5.217368,1.0,2018.0,9.0,3.0,8.463303
1.0,4.10464,1.0,2018.0,9.0,3.0,12.567943
1.0,2.1048408,1.0,2018.0,9.0,3.0,14.672783
1.0,2.1048408,1.0,2018.0,9.0,3.0,16.777624
1.0,2.1048408,1.0,2018.0,9.0,3.0,18.882465
1.0,2.1048408,1.0,2018.0,9.0,3.0,20.987305
1.0,1.7697077,1.0,2018.0,9.0,3.0,22.757013
1.0,4.2231917,1.0,2018.0,9.0,3.0,26.980206
1.0,10.796307,1.0,2018.0,9.0,3.0,37.776512
1.0,18.574043,1.0,2018.0,9.0,3.0,56.350555
1.0,29.893406,1.0,2018.0,9.0,3.0,86.24396
1.0,26.655586,1.0,2018.0,9.0,3.0,112.89955
1.0,28.134539,1.0,2018.0,9.0,3.0,141.03409
1.0,23.328848,1.0,2018.0,9.0,3.0,164.36293
1.0,15.462204,1.0,2018.0,9.0,3.0,179.82513
1.0,17.402485,1.0,2018.0,9.0,3.0,197.22763
1.0,13.505401,1.0,2018.0,9.0,3.0,210.73302
